Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,
2019,GOOGLE LLC,2,0,0,1,54,3358,CA,MOUNTAIN VIEW,94043
2019,GOOGLE LLC,2,0,1,0,54,3591,CA,MOUNTAIN VIEW,94043
2019,GOOGLE LLC,1,0,1,0,54,9358,CA,MOUNTAIN VIEW,94043
2019,GOOGLE LLC,0,0,2,0,54,3581,CA,MOUNTAIN VIEW,94043
2019,GOOGLE LLC,0,0,1,0,54,9358,CA,MOUNTAIN VIEW,94043
2019,GOOGLE LLC,0,0,1,0,51,3581,CA,MOUNTAIN VIEW,94043
2019,GOOGLE LLC,0,0,1,0,54,3581,CA,SOUTH SAN FRANCISCO,94080
2019,GOOGLE LLC,0,0,1,0,54,3851,CA,MOUNTAIN VIEW,94043
,,"2,697",104,"3,347",54,,,,,
,,"6,044",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2019,DELOITTE TOUCHE TOHMATSU SERVICES,0,1,3,3,54,6681,PA,PHILADELPHIA,19103
2019,DELOITTE & TOUCHE LLP,1,2,41,2,54,1517,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,400,629,646,670,54,4513,MA,BOSTON,2210
2019,DELOITTE FIN ADVISORY SVCS LLP,2,2,4,3,54,745,MA,BOSTON,2210
2019,DELOITTE & TOUCHE LLP,1,1,5,33,54,1517,GA,ATLANTA,30309
2019,DELOITTE LLP-DELOITTE LLP,1,1,4,0,54,3500,MA,BOSTON,2210
2019,DELOITTE TRANSACTIONS & BUS ANALYT,35,17,66,27,54,290,MA,BOSTON,2210
2019,DELOITTE CONSULTING LLP,766,249,"4,293","1,304",54,4513,PA,PHILADELPHIA,19103
2019,DELOITTE & TOUCHE LLP,327,75,730,315,54,1517,MA,BOSTON,2210
2019,DELOITTE SVCS LP,15,3,40,9,54,7118,MA,BOSTON,2210
2019,DELOITTE TAX LLP,114,4,195,32,54,5772,MA,BOSTON,2210
2019,DELOITTE TOUCHE TOHMATSU SVCS INC,3,0,36,2,54,6681,NY,NEW YORK,10020
2019,DELOITTE CONSULTING LLP,1,0,1,2,54,4513,MA,BOSTON,2110
2019,DELOITTE & TOUCHE LLP,1,0,1,1,54,1517,MA,BOSTON,2110
2019,DELOITTE CONSULTING LLP,1,0,3,0,54,817,PA,PHILADELPHIA,19103
2019,DELOITTE FIN ADVISORY SVCS LLP,0,0,1,0,54,745,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,0,0,1,0,54,4513,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,0,0,1,0,54,1513,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,0,0,0,1,54,4511,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,0,0,2,1,54,4512,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,0,0,10,13,54,4513,GA,ATLANTA,30309
2019,DELOITTE CONSULTING LLP,0,0,0,1,54,4513,MA,BOSTON,2116
2019,DELOITTE CONSULTING LLP,0,0,0,1,54,4513,MA,BOSTON,2212
2019,DELOITTE CONSULTING LLP,0,0,0,1,54,4513,NJ,PARSIPPANY,7054
2019,DELOITTE CONSULTING LLP,0,0,0,2,54,4513,NY,NEW YORK,10103
2019,DELOITTE CONSULTING LLP,0,0,1,0,54,4513,PA,CHESTER,19013
2019,DELOITTE CONSULTING LLP,0,0,1,0,54,5451,PA,PHILADELPHIA,19103
2019,DELOITTE CONSULTING LLP,0,0,1,0,54,5451,PA,PHILADELPHIA,19103
2019,DELOITTE & TOUCHE LLP,0,0,1,0,99,1517,MA,BOSTON,2210
2019,DELOITTE & TOUCHE LLP,0,0,1,0,99,9151,MA,BOSTON,2210
2019,DELOITTE & TOUCHE LLP,0,0,0,1,99,1519,MA,BOSTON,2210
2019,DELOITTE & TOUCHE LLP,0,0,0,1,99,9151,MA,BOSTON,2210
2019,DELOITTE CONSULTING LLP,0,0,0,1,54,4513,MA,BOSTON,2210
2019,DELOITTE CONSULTING LLP,0,0,1,0,54,4513,PA,PHILADELPHIA,19103
2019,DELOITTE TAX LLP,0,0,1,0,54,5675,MA,BOSTON,2210
2019,DELOITTE TAX LLP,0,0,1,0,54,5772,GA,ATLANTA,30309
2019,DELOITTE TAX LLP,0,0,19,1,54,5772,PA,PHILADELPHIA,19103
2019,DELOITTE TAX LLP,0,0,1,0,54,5772,VA,ARLINGTON,22210
2019,DELOITTE & TOUCHE LLP,0,0,0,1,54,290,GA,ATLANTA,30309
2019,DELOITTE TRANSACTIONS & BUS ANALYT,0,0,1,0,54,290,PA,PHILADELPHIA,19103
,,1668,984,6112,2428,,,,,
,,7780,,,,,,,,
