County,DemVotes,RepVotes
TUSCOLA,9304,17692
PRESQUE ISLE,2482,4334
ISABELLA,12246,12366
OTTAWA,43458,117062
GRATIOT,6098,9680
MISSAUKEE,2052,6222
MONTMORENCY,1610,4100
BARRY,9804,21128
ROSCOMMON,4914,9032
ALCONA,1900,4286
MUSKEGON,39558,38800
GOGEBIC,3020,3442
CHARLEVOIX,5684,9942
OGEMAW,3728,6382
OTSEGO,4140,8600
HOUGHTON,6376,8828
CRAWFORD,2334,4522
GENESEE,121214,80234
KALKASKA,3230,6954
MONTCALM,9124,17392
SANILAC,5524,14660
WAYNE,551678,274014
LEELANAU,7746,9718
OSCODA,1216,2988
MENOMINEE,3428,5704
DELTA,6502,9864
GD. TRAVERSE,24950,34820
SCHOOLCRAFT,1364,2236
IOSCO,4674,7550
EMMET,8074,12762
MIDLAND,15560,28138
EATON,26668,32930
OSCEOLA,3318,8458
ARENAC,2580,4448
BARAGA,1338,2108
KENT,141236,200814
MECOSTA,6034,11438
IONIA,8772,16392
OAKLAND,359312,383066
CASS,6852,14572
LIVINGSTON,35162,78106
MONROE,28430,43610
CHEBOYGAN,4740,9070
CLARE,4764,8480
CALHOUN,22566,31846
LENAWEE,15800,28786
MANISTEE,5652,7468
MACKINAC,2338,3962
ALLEGAN,18476,40972
BENZIE,5096,6296
ST. CLAIR,29528,49986
KALAMAZOO,66512,64810
LAPEER,16464,32648
BRANCH,4650,12132
WEXFORD,5518,11640
INGHAM,82242,54648
ALGER,2072,2542
IRON,2182,3670
MASON,6030,10028
LAKE,2186,3176
ALPENA,4980,8540
WASHTENAW,137392,74202
ANTRIM,4804,9754
BERRIEN,25990,45472
HILLSDALE,4864,14896
NEWAYGO,7098,17414
MACOMB,195072,249786
JACKSON,24756,41422
CHIPPEWA,6176,9756
GLADWIN,4252,7798
OCEANA,4140,9018
MARQUETTE,17914,15356
SAGINAW,45156,43322
SHIAWASSEE,15394,19968
KEWEENAW,644,870
ST. JOSEPH,7340,15702
ONTONAGON,1474,2184
HURON,4566,10900
CLINTON,16138,25336
DICKINSON,4174,8766
VAN BUREN,12504,18754
BAY,25824,27546
LUCE,942,1864
